country,name,longName,foundingDate,population,capital,largestCity,area
4085,Switzerland,Swiss Confederation,1499-09-22,8211700,Bern,Zürich,15940mi
4089,Syria,Syrian Arab Republic,3/8/1920,17064854,Damascus,Aleppo,71479mi
4090,Syria,Syrian Arab Republic,12/1/1924,17064854,Damascus,Aleppo,71479mi
4163,Taiwan,Republic of China,10/10/1911,23476640,Taipei,New Taipei City,13974mi
4164,Taiwan,Republic of China,1/1/1912,23476640,Taipei,New Taipei City,13974mi
4167,Tajikistan,Republic of Tajikistan,9/9/1991,8610000,Dushanbe,,55251mi
4168,Tajikistan,Republic of Tajikistan,12/25/1991,8610000,Dushanbe,,55251mi
4171,Talossa,Kingdom of Talossa,12/26/1979,255,,,13km
4184,Tanzania,United Republic of Tanzania,12/9/1961,51820000,Dodoma,Dar es Salaam,365756mi
4185,Tanzania,United Republic of Tanzania,12/10/1963,51820000,Dodoma,Dar es Salaam,365756mi
4205,Commonwealth (Insular area),,,4065516,,,22294.2km
4206,Unincorporated territories of the United States,,,4065516,,,22294.2km
4207,Insular area,,,4065516,,,22294.2km
4214,Thailand,Kingdom of Thailand,,67959000,Bangkok,Bangkok,198115mi
4218,The Bahamas,Commonwealth of the Bahamas,7/10/1973,321834,"Nassau, Bahamas",,5358mi
4219,,Republic of the Gambia,2/18/1965,,Banjul,Serekunda,4007mi
4256,Tobago,Tobago,,,"Scarborough, Tobago","Scarborough, Tobago",116mi
4257,Togo,Togolese Republic,4/27/1960,7552318,Lomé,Lomé,21925mi
4261,Tokelau,,,,List of DNS record types,Fakaofo,3.86mi
4265,Tonga,Kingdom of Tonga,6/4/1970,,Nuku?alofa,,289mi
4279,Transnistria,Pridnestrovian Moldavian Republic,7/21/1992,505153,Tiraspol,,1607mi
4280,Transnistria,Pridnestrovian Moldavian Republic,9/2/1990,505153,Tiraspol,,1607mi
4293,Tristan da Cunha,,1816-08-14,,Edinburgh of the Seven Seas,,80mi
4312,Tunisia,Tunisian Republic,1705-07-15,10982754,Tunis,,63170mi
4313,Tunisia,al-Jumhuriyah at-Tunisiyah,1705-07-15,10982754,Tunis,,63170mi
4314,Tunisia,Tunisian Republic,3/20/1956,10982754,Tunis,,63170mi
4315,Tunisia,al-Jumhuriyah at-Tunisiyah,3/20/1956,10982754,Tunis,,63170mi
4318,Turkey,Republic of Turkey,7/24/1923,,Ankara,Istanbul,302535mi
4319,Turkey,Republic of Turkey,4/23/1920,,Ankara,Istanbul,302535mi
4327,Turkmenistan,Turkmenistan,4/30/1918,5171943,Ashgabat,Ashgabat,188456mi
4328,Turks and Caicos Islands,Turks and Caicos Islands,,,Cockburn Town,Providenciales,616.3km
4330,Tuvalu,Tuvalu,10/1/1978,10837,Funafuti,,10mi
4334,Twente,,,626586,Enschede,,1503km
4347,Ukraine,Ukraine,6/30/1941,44429471,Kiev,,"or 233,013mi"
4359,Una-Sana,Una-Sana Canton,6/12/1996,,Bihac,Bihac,1592.7mi
4367,United Arab Emirates,United Arab Emirates,,5779760,Abu Dhabi,Dubai,32278mi
4372,United Kingdom,,1801-01-01,64716000,London,,93628mi
4373,United Kingdom,,1707-05-01,64716000,London,,93628mi
4392,the United States,United States of America,1776-07-04,322369319,"Washington, D.C.",New York City,3805927mi
4393,the United States,United States of America,1781-03-01,322369319,"Washington, D.C.",New York City,3805927mi
4398,United States Minor Outlying Islands,United States Minor Outlying Islands,,300,,,13.2mi
4403,United States Virgin Islands,Virgin Islands of the United States,3/31/1917,103574,"Charlotte Amalie, U.S. Virgin Islands",,133.73mi
4404,United States Virgin Islands,Virgin Islands of the United States,7/22/1954,103574,"Charlotte Amalie, U.S. Virgin Islands",,133.73mi
4410,Mustang,Kingdom of Lo / Mustang,,7000,Lo Manthang,,700mi
4411,Mustang,??????,,7000,Lo Manthang,,700mi
4417,Uruguay,Eastern Republic of Uruguay,1825-08-25,3324460,Montevideo,,68037mi
4418,Uruguay,Eastern Republic of Uruguay,1828-08-28,3324460,Montevideo,,68037mi
4425,Uzbekistan,Republic of Uzbekistan,9/2/1920,31025500,Tashkent,Tashkent,172742mi
4432,Vanuatu,Republic of Vanuatu,7/30/1980,272264,Port Vila,Port Vila,12190km
4435,Vatican City,Vatican City State,2/11/1929,842,,,0.17mi
4438,Venezuela,Bolivarian Republic of Venezuela,1830-01-13,,Caracas,,353841mi
4439,Venezuela,Bolivarian Republic of Venezuela,1811-07-05,,Caracas,,353841mi
4459,Vietnam,Socialist Republic of Vietnam,9/2/1945,91700000,Hanoi,Ho Chi Minh City,128565mi
4460,Vietnam,Socialist Republic of Vietnam,4/30/1975,91700000,Hanoi,Ho Chi Minh City,128565mi
4478,Vojvodina,Autonomous Province of Vojvodina,,,Novi Sad,,8304mi
4509,Wallis,Kingdom ofUvea,7/29/1961,10731,Mata-Utu,Capital city,29.93mi
4510,Wallis and Futuna,Territory of the Wallis and Futuna Islands,,15500,Mata-Utu,Mata-Utu,55mi
4534,West Herzegovina Canton,West Herzegovina Canton,6/12/1996,,Široki Brijeg,Široki Brijeg,525.8mi
4607,Yemen,Republic of Yemen,11/1/1918,25408000,Sana'a,Sana'a,203796mi
4608,Yemen,Republic of Yemen,11/1/1918,25408000,Aden,Sana'a,203796mi
4609,Yemen,Republic of Yemen,11/30/1967,25408000,Sana'a,Sana'a,203796mi
4610,Yemen,Republic of Yemen,11/30/1967,25408000,Aden,Sana'a,203796mi
4623,Zambia,Republic of Zambia,1890-06-27,16212000,Lusaka,,290587mi
4624,Zambia,Republic of Zambia,1899-11-28,16212000,Lusaka,,290587mi
4628,,Zanzibar,12/10/1963,,Zanzibar City,,2461km
4629,,Zanzibar,1/12/1964,,Zanzibar City,,2461km
4649,Zimbabwe,Republic of Zimbabwe,11/11/1965,12973808,Harare,Harare,150871mi
4650,Zimbabwe,Republic of Zimbabwe,4/18/1980,12973808,Harare,Harare,150871mi
